,area,concentration,date,dupl,medium,species
187,22698.006922186254,58.5,2018-06-23,2,PDA,S.commune.DSC3
188,70685.83470577035,58.5,2018-06-23,2,PDA,S.commune.DSC3
189,11309.733552923255,58.5,2018-06-23,2,PDA,S.commune.DSC3
190,32047.38665926948,,2018-06-23,1,YPD,P.ostreatus
191,32047.38665926948,,2018-06-23,1,YPD,P.ostreatus
192,28352.873698647883,,2018-06-23,1,YPD,P.ostreatus
193,21642.431790580085,,2018-06-23,1,YPD,P.ostreatus
194,19113.4497044403,,2018-06-23,1,YPD,P.ostreatus
195,22698.006922186254,,2018-06-23,1,YPD,P.ostreatus
196,32685.129967948207,,2018-06-23,1,YPD,P.ostreatus
197,16286.016316209487,,2018-06-23,1,YPD,P.ostreatus
198,61575.216010359945,,2018-06-23,1,YPD,S.commune
199,37325.26231730033,,2018-06-23,1,YPD,S.commune
200,18145.839167134644,,2018-06-23,1,YPD,S.commune
201,21124.069002737768,,2018-06-23,1,YPD,S.commune
202,30171.855845076374,,2018-06-23,1,YPD,S.commune.DSC3
203,16286.016316209487,,2018-06-23,1,YPD,S.commune.DSC3
204,11309.733552923255,,2018-06-23,1,YPD,S.commune.DSC3
205,497640.8426992376,47.5,2018-06-24,1,MEA,S.commune
206,167638.52558820494,47.5,2018-06-24,1,MEA,S.commune
207,9503.317777109125,47.5,2018-06-24,1,MEA,S.commune
208,273397.10067865177,47.5,2018-06-24,2,MEA,S.commune
209,269702.58771803015,47.5,2018-06-24,2,MEA,S.commune
210,237582.9444277281,47.5,2018-06-24,2,MEA,S.commune
211,7853.981633974483,47.5,2018-06-24,1,MEA,S.commune.DSC3
212,8494.8665353068,47.5,2018-06-24,1,MEA,S.commune.DSC3
213,3216.990877275948,47.5,2018-06-24,1,MEA,S.commune.DSC3
214,6647.610054996002,47.5,2018-06-24,2,MEA,S.commune.DSC3
215,5281.017250684442,47.5,2018-06-24,2,MEA,S.commune.DSC3
216,7542.9639612690935,47.5,2018-06-24,2,MEA,S.commune.DSC3
217,356787.5360755392,50,2018-06-24,1,MEA,S.commune
218,354673.2442196733,50,2018-06-24,1,MEA,S.commune
219,492651.993565337,50,2018-06-24,1,MEA,S.commune
220,329791.83040324214,50,2018-06-24,2,MEA,S.commune
221,315695.5041665847,50,2018-06-24,2,MEA,S.commune
222,220618.34409834322,50,2018-06-24,2,MEA,S.commune
223,108686.53944359248,50,2018-06-24,1,MEA,S.commune.DSC3
224,10207.034531513238,50,2018-06-24,1,MEA,S.commune.DSC3
225,8494.8665353068,50,2018-06-24,1,MEA,S.commune.DSC3
226,183984.23216483265,50,2018-06-24,2,MEA,S.commune.DSC3
227,10207.034531513238,50,2018-06-24,2,MEA,S.commune.DSC3
228,5026.548245743669,50,2018-06-24,2,MEA,S.commune.DSC3
229,465662.5710783471,52.5,2018-06-24,1,MEA,S.commune
230,154830.25233951936,52.5,2018-06-24,1,MEA,S.commune
231,172021.0473399627,52.5,2018-06-24,1,MEA,S.commune
232,128189.54663707792,52.5,2018-06-24,2,MEA,S.commune
233,220618.34409834322,52.5,2018-06-24,2,MEA,S.commune
234,14102.609421964582,52.5,2018-06-24,2,MEA,S.commune
235,115811.67158193413,52.5,2018-06-24,1,MEA,S.commune.DSC3
236,197923.47876881054,52.5,2018-06-24,1,MEA,S.commune.DSC3
237,13684.77759903714,52.5,2018-06-24,1,MEA,S.commune.DSC3
238,361034.96934319264,52.5,2018-06-24,2,MEA,S.commune.DSC3
239,16741.54725098001,52.5,2018-06-24,2,MEA,S.commune.DSC3
240,4300.840342764427,52.5,2018-06-24,2,MEA,S.commune.DSC3
241,217300.8222561524,19.5,2018-06-24,1,PDA,P.ostreatus
242,82447.95760081054,19.5,2018-06-24,1,PDA,P.ostreatus
243,167638.52558820494,19.5,2018-06-24,1,PDA,P.ostreatus
244,96211.27501618741,19.5,2018-06-24,1,PDA,P.ostreatus
245,76453.7988177612,19.5,2018-06-24,1,PDA,P.ostreatus
246,124410.2106748094,19.5,2018-06-24,1,PDA,P.ostreatus
247,149301.04926920132,19.5,2018-06-24,1,PDA,P.ostreatus
248,33329.156461934115,19.5,2018-06-24,1,PDA,P.ostreatus
249,113411.49479459153,19.5,2018-06-24,2,PDA,P.ostreatus
250,67886.67565142184,19.5,2018-06-24,2,PDA,P.ostreatus
251,112220.831178881,19.5,2018-06-24,2,PDA,P.ostreatus
252,104062.1150575083,19.5,2018-06-24,2,PDA,P.ostreatus
253,111036.45074847765,19.5,2018-06-24,2,PDA,P.ostreatus
254,150673.92525882006,19.5,2018-06-24,2,PDA,P.ostreatus
255,77437.11731833481,19.5,2018-06-24,2,PDA,P.ostreatus
256,26590.440219984008,19.5,2018-06-24,2,PDA,P.ostreatus
257,286525.8163780035,19.5,2018-06-24,1,PDA,S.commune
258,427762.3973054398,19.5,2018-06-24,1,PDA,S.commune
259,278985.99400938797,19.5,2018-06-24,1,PDA,S.commune
260,65144.06526483795,19.5,2018-06-24,1,PDA,S.commune.DSC3
261,8171.282491987052,19.5,2018-06-24,1,PDA,S.commune.DSC3
262,17671.458676442588,19.5,2018-06-24,1,PDA,S.commune.DSC3
263,5026.548245743669,19.5,2018-06-24,2,PDA,S.commune.DSC3
264,7853.981633974483,19.5,2018-06-24,2,PDA,S.commune.DSC3
265,3421.194399759285,19.5,2018-06-24,2,PDA,S.commune.DSC3
266,327759.21995636955,19.5,2018-06-24,2,PDA,S.commune
267,423137.97291935567,19.5,2018-06-24,2,PDA,S.commune
268,161883.12784682846,19.5,2018-06-24,2,PDA,S.commune
269,129461.89166178179,19.5,2018-06-24,2,PDA,S.commune
270,525528.7606851542,39,2018-06-24,1,PDA,S.commune
271,407150.40790523717,39,2018-06-24,1,PDA,S.commune
272,480289.8264734612,39,2018-06-24,1,PDA,S.commune
273,448883.324715524,39,2018-06-24,2,PDA,S.commune
274,583585.3929234935,39,2018-06-24,2,PDA,S.commune
275,472947.9244420218,39,2018-06-24,2,PDA,S.commune
276,258769.84528353767,39,2018-06-24,1,PDA,S.commune.DSC3
277,182466.84291314878,39,2018-06-24,1,PDA,S.commune.DSC3
278,348368.06776391855,39,2018-06-24,1,PDA,S.commune.DSC3
279,190116.62102463993,39,2018-06-24,2,PDA,S.commune.DSC3
280,271546.7026056874,39,2018-06-24,2,PDA,S.commune.DSC3
281,586296.5873835415,39,2018-06-24,2,PDA,S.commune.DSC3
282,241051.26271729125,58.5,2018-06-24,1,PDA,S.commune
283,391470.71897117054,58.5,2018-06-24,1,PDA,S.commune
284,597204.1970768053,58.5,2018-06-24,1,PDA,S.commune
285,395919.21416865365,58.5,2018-06-24,2,PDA,S.commune
286,451261.5103542915,58.5,2018-06-24,2,PDA,S.commune
287,12867.963509103793,58.5,2018-06-24,2,PDA,S.commune
288,8824.73376393373,58.5,2018-06-24,1,PDA,S.commune.DSC3
289,6647.610054996002,58.5,2018-06-24,1,PDA,S.commune.DSC3
290,4300.840342764427,58.5,2018-06-24,1,PDA,S.commune.DSC3
291,299962.408157407,58.5,2018-06-24,2,PDA,S.commune.DSC3
292,12076.282160399165,58.5,2018-06-24,2,PDA,S.commune.DSC3
293,6361.725123519331,58.5,2018-06-24,2,PDA,S.commune.DSC3
294,64242.42817325768,,2018-06-24,1,YPD,P.ostreatus
295,57255.52611167398,,2018-06-24,1,YPD,P.ostreatus
296,53912.871528254436,,2018-06-24,1,YPD,P.ostreatus
297,61575.216010359945,,2018-06-24,1,YPD,P.ostreatus
298,31415.926535897932,,2018-06-24,1,YPD,P.ostreatus
299,77437.11731833481,,2018-06-24,1,YPD,P.ostreatus
300,25446.900494077323,,2018-06-24,1,YPD,P.ostreatus
301,46759.46505603048,,2018-06-24,1,YPD,P.ostreatus
302,123162.99839133424,,2018-06-24,1,YPD,S.commune
303,126923.48479768123,,2018-06-24,1,YPD,S.commune
304,77437.11731833481,,2018-06-24,1,YPD,S.commune
305,173494.45429449633,,2018-06-24,1,YPD,S.commune
306,79422.60387540355,,2018-06-24,1,YPD,S.commune.DSC3
307,12867.963509103793,,2018-06-24,1,YPD,S.commune.DSC3
308,5281.017250684442,,2018-06-24,1,YPD,S.commune.DSC3
309,974675.9791835797,47.5,2018-06-25,1,MEA,S.commune
310,480289.8264734612,47.5,2018-06-25,1,MEA,S.commune
311,23778.714795021144,47.5,2018-06-25,1,MEA,S.commune
312,664761.0054996002,47.5,2018-06-25,2,MEA,S.commune
313,810731.9665559963,47.5,2018-06-25,2,MEA,S.commune
314,622113.8852271187,47.5,2018-06-25,2,MEA,S.commune
315,8494.8665353068,47.5,2018-06-25,1,MEA,S.commune.DSC3
316,9852.03456165759,47.5,2018-06-25,1,MEA,S.commune.DSC3
317,7853.981633974483,47.5,2018-06-25,1,MEA,S.commune.DSC3
318,6361.725123519331,47.5,2018-06-25,2,MEA,S.commune.DSC3
319,10568.317686676064,47.5,2018-06-25,2,MEA,S.commune.DSC3
320,7238.229473870883,47.5,2018-06-25,2,MEA,S.commune.DSC3
321,520401.6814744956,50,2018-06-25,1,MEA,S.commune
322,869203.2890246096,50,2018-06-25,1,MEA,S.commune
323,453645.97917836613,50,2018-06-25,1,MEA,S.commune
324,517847.56664712715,50,2018-06-25,2,MEA,S.commune
325,477836.24261100753,50,2018-06-25,2,MEA,S.commune
326,548911.634805823,50,2018-06-25,2,MEA,S.commune
327,437086.64430129435,50,2018-06-25,1,MEA,S.commune.DSC3
328,2123.7166338267,50,2018-06-25,1,MEA,S.commune.DSC3
